timestamp,city,source,url,aqi,co,pm25,pm10,no2,o3,so2
2025-10-24 19:53:30.689697,Delhi,historical_simulation,simulated,182.8,2.09,153.06,207.59,67.86,29.74,15.84
2025-10-24 19:53:35.626043,Beijing,historical_simulation,simulated,151.0,1.73,115.99,202.28,47.01,36.34,12.16
2025-10-24 19:53:40.001415,Los Angeles,historical_simulation,simulated,62.79,1.0,41.27,57.23,28.19,45.18,4.51
2025-10-24 19:53:44.413516,London,historical_simulation,simulated,58.24,1.0,29.77,41.52,29.83,46.18,3.67
2025-10-24 19:53:49.317394,Tokyo,historical_simulation,simulated,55.82,1.0,28.98,43.93,18.23,42.58,3.72
2025-10-25 19:53:30.689697,Delhi,historical_simulation,simulated,190.01,2.1,173.1,225.86,66.55,33.43,16.24
2025-10-25 19:53:35.626043,Beijing,historical_simulation,simulated,109.72,1.32,88.21,135.08,36.71,25.52,8.76
2025-10-25 19:53:40.001415,Los Angeles,historical_simulation,simulated,71.12,1.0,40.34,57.59,33.65,53.01,5.29
2025-10-25 19:53:44.413516,London,historical_simulation,simulated,49.8,1.0,26.41,33.96,25.43,38.19,2.91
2025-10-25 19:53:49.317394,Tokyo,historical_simulation,simulated,65.16,1.0,32.45,54.24,23.34,52.37,4.66
2025-10-26 19:53:30.689697,Delhi,historical_simulation,simulated,195.37,2.18,168.89,223.43,67.27,33.53,16.34
2025-10-26 19:53:35.626043,Beijing,historical_simulation,simulated,151.94,1.8,122.64,171.49,49.6,36.13,11.01
2025-10-26 19:53:40.001415,Los Angeles,historical_simulation,simulated,83.62,1.0,48.43,76.43,36.78,60.54,6.25
2025-10-26 19:53:44.413516,London,historical_simulation,simulated,43.71,1.0,22.02,29.91,24.16,36.18,2.93
2025-10-26 19:53:49.317394,Tokyo,historical_simulation,simulated,66.5,1.0,33.94,49.1,20.5,46.74,4.31
2025-10-27 19:53:30.689697,Delhi,historical_simulation,simulated,166.52,1.61,124.25,169.67,56.06,24.58,13.39
2025-10-27 19:53:35.626043,Beijing,historical_simulation,simulated,180.83,2.09,140.29,214.83,62.78,44.09,13.54
2025-10-27 19:53:40.001415,Los Angeles,historical_simulation,simulated,69.8,1.0,39.1,61.68,31.97,50.94,5.59
2025-10-27 19:53:44.413516,London,historical_simulation,simulated,46.71,1.0,25.84,34.71,22.79,35.95,3.02
2025-10-27 19:53:49.317394,Tokyo,historical_simulation,simulated,44.97,1.0,25.6,39.86,15.82,33.67,3.38
2025-10-28 19:53:30.689697,Delhi,historical_simulation,simulated,193.21,2.06,153.58,211.18,67.04,30.26,15.55
2025-10-28 19:53:35.626043,Beijing,historical_simulation,simulated,168.74,1.92,133.27,199.85,57.16,40.69,13.4
2025-10-28 19:53:40.001415,Los Angeles,historical_simulation,simulated,71.94,1.0,42.75,71.44,33.51,54.1,5.46
2025-10-28 19:53:44.413516,London,historical_simulation,simulated,50.84,1.0,24.61,35.37,25.36,38.96,3.17
2025-10-28 19:53:49.317394,Tokyo,historical_simulation,simulated,56.01,1.0,31.43,42.65,18.01,42.92,3.93
2025-10-29 19:53:30.689697,Delhi,historical_simulation,simulated,160.91,1.93,142.11,189.94,60.21,31.39,14.76
2025-10-29 19:53:35.626043,Beijing,historical_simulation,simulated,164.3,1.97,116.68,207.58,51.28,37.79,13.73
2025-10-29 19:53:40.001415,Los Angeles,historical_simulation,simulated,81.67,1.0,48.16,67.41,39.0,65.38,6.62
2025-10-29 19:53:44.413516,London,historical_simulation,simulated,48.88,1.0,24.56,31.66,23.6,34.59,2.83
2025-10-29 19:53:49.317394,Tokyo,historical_simulation,simulated,73.83,1.0,34.35,49.78,21.35,49.77,4.4
2025-10-30 19:53:30.689697,Delhi,historical_simulation,simulated,207.76,2.24,176.15,233.5,63.93,33.08,17.66
2025-10-30 19:53:35.626043,Beijing,historical_simulation,simulated,156.81,1.91,121.64,173.11,50.67,33.85,11.71
2025-10-30 19:53:40.001415,Los Angeles,historical_simulation,simulated,78.15,1.0,37.13,59.89,27.53,45.85,4.51
2025-10-30 19:53:44.413516,London,historical_simulation,simulated,43.25,1.0,21.28,29.39,22.47,38.21,2.75
2025-10-30 19:53:49.317394,Tokyo,historical_simulation,simulated,58.89,1.0,29.1,43.26,20.66,48.51,3.65
2025-10-31 19:53:30.689697,Delhi,historical_simulation,simulated,194.6,2.34,168.28,215.57,60.16,31.06,15.25
2025-10-31 19:53:35.626043,Beijing,historical_simulation,simulated,193.35,2.46,158.3,241.93,66.98,46.79,15.83
2025-10-31 19:53:40.001415,Los Angeles,historical_simulation,simulated,82.27,1.0,47.18,72.07,36.65,58.95,6.07
2025-10-31 19:53:44.413516,London,historical_simulation,simulated,37.06,1.0,22.2,29.95,22.39,33.68,2.61
2025-10-31 19:53:49.317394,Tokyo,historical_simulation,simulated,39.98,1.0,20.55,34.61,13.77,35.47,2.76
2025-11-01 19:53:30.689697,Delhi,historical_simulation,simulated,216.19,2.03,164.83,216.45,57.58,32.87,15.97
2025-11-01 19:53:35.626043,Beijing,historical_simulation,simulated,100.69,1.29,86.64,119.91,40.2,29.73,9.52
2025-11-01 19:53:40.001415,Los Angeles,historical_simulation,simulated,85.4,1.0,45.85,69.07,34.39,58.13,5.86
2025-11-01 19:53:44.413516,London,historical_simulation,simulated,60.36,1.0,29.18,42.95,32.24,48.74,3.55
2025-11-01 19:53:49.317394,Tokyo,historical_simulation,simulated,60.03,1.0,29.45,48.42,20.16,44.74,4.06
2025-11-02 19:53:30.689697,Delhi,historical_simulation,simulated,176.85,1.96,156.04,214.26,63.11,26.41,14.32
2025-11-02 19:53:35.626043,Beijing,historical_simulation,simulated,133.32,1.58,115.79,177.57,50.13,35.68,11.57
2025-11-02 19:53:40.001415,Los Angeles,historical_simulation,simulated,66.79,1.0,37.87,59.66,31.46,48.47,4.86
2025-11-02 19:53:44.413516,London,historical_simulation,simulated,49.79,1.0,25.87,35.71,26.27,34.98,3.05
2025-11-02 19:53:49.317394,Tokyo,historical_simulation,simulated,48.95,1.0,22.82,37.31,16.79,32.16,3.08
2025-11-03 19:53:30.689697,Delhi,historical_simulation,simulated,197.81,2.19,176.61,229.38,70.46,34.61,18.2
2025-11-03 19:53:35.626043,Beijing,historical_simulation,simulated,166.0,2.08,140.05,218.51,53.4,42.48,13.22
2025-11-03 19:53:40.001415,Los Angeles,historical_simulation,simulated,75.93,1.0,40.51,67.85,31.55,48.87,5.09
2025-11-03 19:53:44.413516,London,historical_simulation,simulated,33.93,1.0,18.33,24.38,17.1,31.1,1.96
2025-11-03 19:53:49.317394,Tokyo,historical_simulation,simulated,56.97,1.0,29.76,40.47,20.27,47.44,3.73
2025-11-04 19:53:30.689697,Delhi,historical_simulation,simulated,174.66,1.96,148.26,198.02,59.0,29.16,13.43
2025-11-04 19:53:35.625043,Beijing,historical_simulation,simulated,144.03,1.69,122.3,177.16,50.18,35.57,11.66
2025-11-04 19:53:40.001415,Los Angeles,historical_simulation,simulated,66.48,1.0,42.82,54.0,28.12,47.17,4.63
2025-11-04 19:53:44.413516,London,historical_simulation,simulated,51.79,1.0,25.17,37.03,28.57,43.65,3.3
2025-11-04 19:53:49.317394,Tokyo,historical_simulation,simulated,62.84,1.0,35.22,45.08,20.12,49.28,4.3
2025-11-05 19:53:30.689697,Delhi,historical_simulation,simulated,144.18,1.42,110.11,157.89,47.67,23.26,11.59
2025-11-05 19:53:35.625043,Beijing,historical_simulation,simulated,176.72,2.3,148.44,223.25,60.48,41.93,14.4
2025-11-05 19:53:40.001415,Los Angeles,historical_simulation,simulated,75.39,1.0,36.93,59.2,29.44,49.25,4.41
2025-11-05 19:53:44.413516,London,historical_simulation,simulated,60.37,1.0,28.99,40.44,30.93,49.2,3.45
2025-11-05 19:53:49.317394,Tokyo,historical_simulation,simulated,55.36,1.0,28.21,41.86,19.69,38.08,3.78
2025-11-06 19:53:30.688663,Delhi,historical_simulation,simulated,166.15,1.98,148.53,195.35,58.09,27.98,13.94
2025-11-06 19:53:35.625043,Beijing,historical_simulation,simulated,113.42,1.53,103.86,137.42,38.19,29.89,9.76
